title
Senior HR Coordinator - Spanish Speaking
Front Office Supervisor
Front Desk Agent
Hostess
Deli Counter Assistant / Salumeria Specialist
Baristas
Assistant Executive Housekeeper
Application Developer (Drupal)
Kitchen Porter
Food & Beverage Staff
Pool Attendants
Head Chef - Maltese Cuisine
Labourer Mechanic
Front Office Assistant
Kitchen Assistant - Chinese Cuisine
Head Chef - Chinese Cuisine
Showroom Sales Executive
Senior Sales & Marketing Executive - Airline Industry
QA Manager - Construction
Quality Assurance Officer/Engineer
Client Accounting Manager
Project Manager - Construction
"Airline Sales, Reservations, and Ticketing Officer"
Sales Assistant Manager
Sales Executive B2B
Construction Site Foreman
Sales Engineer
Logistics Officer
Builders and Shutterers
Driver - Malta C License
Assistant Laboratory Manager - Construction Materials
Barber
Associate Tax Advisor
Lead Azure Infrastructure Architect
Bartender in Gozo
Restaurant Supervisor in Gozo
Real Estate Agents
Junior Sales Assistant - Maltese Speaking
Kitchen Helpers in Gozo
Lead Microsoft 365 Architect Modern Work & Security
Real Estate Managers
Servers in Gozo
Bricklayers
Steel Shutterers & Steel Fixers
Waiters
Senior Sales Assistant - Maltese Speaking
Barista
Quantity surveyor
